total_score,predicted_risk,predicted_risk_percent
0,0.013102370334544101,1.31023703345441
1,0.01552747457971795,1.552747457971795
2,0.018393073350610467,1.8393073350610467
3,0.021775821279741165,2.1775821279741163
4,0.025764375413025647,2.576437541302565
5,0.030460741667080897,3.0460741667080895
6,0.035981551141826065,3.5981551141826067
7,0.04245915123688263,4.245915123688263
8,0.0500423509417397,5.0042350941739695
9,0.058896605124697264,5.889660512469726
10,0.06920336147258886,6.920336147258886
11,0.08115823154053035,8.115823154053036
12,0.09496759454016014,9.496759454016015
13,0.1108432156466502,11.08432156466502
14,0.12899448339861977,12.899448339861976
15,0.14961797296492577,14.961797296492577
16,0.1728842553861172,17.288425538611722
17,0.1989222222016793,19.89222222016793
18,0.22780168386954483,22.780168386954482
19,0.25951559378105166,25.951559378105166
20,0.2939638572049889,29.39638572049889
21,0.3309411569269508,33.094115692695084
22,0.3701313764882693,37.013137648826934
23,0.41111085190534913,41.111085190534915
24,0.4533617458757134,45.336174587571335
25,0.4962953887783527,49.62953887783527
26,0.5392837338986759,53.92837338986759
27,0.5816955391112433,58.169553911124325
28,0.6229329386570944,62.293293865709444
29,0.6624639887078068,66.24639887078068
30,0.6998475834765887,69.98475834765887
31,0.7347486011918891,73.47486011918892
32,0.7669428398457409,76.69428398457408
33,0.7963128188589025,79.63128188589025
34,0.822836558492962,82.2836558492962
35,0.8465718972653666,84.65718972653666
36,0.8676388332396461,86.7638833239646
37,0.8862019443599085,88.62019443599085
38,0.9024543465779657,90.24543465779658
39,0.9166040445727928,91.66040445727927
40,0.9288630190309618,92.88630190309618
41,0.9394390205384165,93.94390205384165
42,0.9485298047996319,94.8529804799632
43,0.956319424791903,95.6319424791903
44,0.96297616125777,96.297616125777
45,0.9686516931269507,96.86516931269506
46,0.9734811591957031,97.3481159195703
47,0.9775838238696247,97.75838238696247
48,0.9810641216365715,98.10641216365715
